step,volume,free_surface_area,vx_10_20,pressure_25_30
295,1.5668650866e+00,3.1749982834e+00,5.1158696413e-02,9.4361562500e+03
296,1.5671154261e+00,3.1799981594e+00,5.2016727626e-02,9.4189853516e+03
297,1.5671157837e+00,3.1949982643e+00,5.2973583341e-02,9.3208779297e+03
298,1.5672659874e+00,3.1999981403e+00,5.5534776300e-02,9.3254023438e+03
299,1.5674915314e+00,3.1949980259e+00,5.5232502520e-02,9.6064501953e+03
300,1.5669167042e+00,3.2099983692e+00,5.6699283421e-02,9.1993007812e+03
301,1.5671920776e+00,3.1999983788e+00,5.3543657064e-02,9.6622939453e+03
302,1.5670922995e+00,3.2049980164e+00,5.6376494467e-02,9.1877363281e+03
303,1.5672177076e+00,3.2099978924e+00,5.3419757634e-02,9.5668906250e+03
304,1.5671679974e+00,3.2149982452e+00,5.3379531950e-02,9.2786669922e+03
305,1.5672433376e+00,3.2199981213e+00,5.5836334825e-02,9.6007089844e+03
306,1.5672185421e+00,3.2349982262e+00,5.4650060833e-02,9.0666845703e+03
307,1.5668940544e+00,3.2249979973e+00,5.4213743657e-02,9.5654531250e+03
308,1.5670194626e+00,3.2299981117e+00,5.4579641670e-02,9.5446962891e+03
309,1.5672947168e+00,3.2349979877e+00,5.1317315549e-02,9.2359238281e+03
310,1.5673698187e+00,3.2399978638e+00,5.1927193999e-02,9.2110400391e+03
311,1.5673952103e+00,3.2449982166e+00,5.4622996598e-02,9.7629101562e+03
312,1.5671204329e+00,3.2599980831e+00,5.8975532651e-02,9.1093994141e+03
313,1.5669457912e+00,3.2499978542e+00,5.0447449088e-02,9.6148359375e+03
314,1.5671461821e+00,3.2549979687e+00,5.7323228568e-02,9.1267802734e+03
315,1.5672963858e+00,3.2599980831e+00,5.2370175719e-02,9.6527255859e+03
316,1.5674467087e+00,3.2749981880e+00,5.6820161641e-02,8.9590244141e+03
317,1.5673719645e+00,3.2699980736e+00,4.9960739911e-02,9.8041699219e+03
318,1.5674222708e+00,3.2849981785e+00,5.9165880084e-02,8.8635029297e+03
319,1.5670226812e+00,3.2749979496e+00,4.9893721938e-02,9.8422744141e+03
320,1.5672978163e+00,3.2799983025e+00,5.9583209455e-02,8.7815390625e+03
321,1.5672731400e+00,3.2849979401e+00,5.6497517973e-02,9.5011923828e+03
322,1.5671985149e+00,3.2899980545e+00,5.4402992129e-02,9.4742089844e+03
323,1.5672986507e+00,3.2949979305e+00,5.5498760194e-02,9.2106865234e+03
324,1.5674240589e+00,3.3199977875e+00,5.7287842035e-02,9.2100849609e+03
325,1.5670244694e+00,3.2999980450e+00,5.2328437567e-02,9.5719550781e+03
326,1.5670496225e+00,3.3149979115e+00,5.9110376984e-02,9.0117626953e+03
327,1.5672498941e+00,3.3099977970e+00,5.0380546600e-02,9.6049316406e+03
